Student{ StudentId=1,name='Sacha Rich', studentGrade=66, courseName='COMPSCI 306'}
Student{ StudentId=4,name='Elsie Medina', studentGrade=81, courseName='COMPSCI 306'}
Student{ StudentId=7,name='Liyah Preece', studentGrade=63, courseName='COMPSCI 307'}
Student{ StudentId=10,name='Darrell Newton', studentGrade=79, courseName='COMPSCI 307'}
Student{ StudentId=13,name='Luther Thornton', studentGrade=53, courseName='COMPSCI 308'}
Student{ StudentId=16,name='Allan Povey', studentGrade=83, courseName='COMPSCI 308'}
Student{ StudentId=22,name='Joy Ayers', studentGrade=74, courseName='COMPSCI 309'}
Student{ StudentId=19,name='Blair Heaton', studentGrade=87, courseName='COMPSCI 309'}
Student{ StudentId=25,name='Angelina Shepard', studentGrade=82, courseName='COMPSCI 310'}
Student{ StudentId=28,name='Justin Conrad', studentGrade=99, courseName='COMPSCI 310'}
Student{ StudentId=31,name='Aryaan Coates', studentGrade=58, courseName='COMPSCI 311'}
Student{ StudentId=34,name='Yassin Mcintyre', studentGrade=74, courseName='COMPSCI 311'}
Student{ StudentId=40,name='Elize Robin', studentGrade=65, courseName='COMPSCI 312'}
Student{ StudentId=37,name='Simone Scott', studentGrade=91, courseName='COMPSCI 312'}
Student{ StudentId=46,name='Mitchell Duran', studentGrade=71, courseName='COMPSCI 313'}
Student{ StudentId=43,name='Priyanka Nieves', studentGrade=79, courseName='COMPSCI 313'}
Student{ StudentId=49,name='Ihsan Burt', studentGrade=74, courseName='COMPSCI 314'}
Student{ StudentId=52,name='Eloisa Serrano', studentGrade=76, courseName='COMPSCI 314'}
Student{ StudentId=58,name='Arielle Pope', studentGrade=67, courseName='COMPSCI 315'}
Student{ StudentId=55,name='Kelsey Ware', studentGrade=69, courseName='COMPSCI 315'}
Student{ StudentId=61,name='Antoine Cummings', studentGrade=83, courseName='COMPSCI 316'}
Student{ StudentId=64,name='Jameson Best', studentGrade=86, courseName='COMPSCI 316'}
Student{ StudentId=70,name='Tegan Fox', studentGrade=72, courseName='COMPSCI 317'}
Student{ StudentId=67,name='Iqra Hodson', studentGrade=72, courseName='COMPSCI 317'}
Student{ StudentId=76,name='Simran Hahn', studentGrade=80, courseName='COMPSCI 318'}
Student{ StudentId=73,name='Alys Mccormick', studentGrade=85, courseName='COMPSCI 318'}
Student{ StudentId=82,name='Braxton Colley', studentGrade=66, courseName='COMPSCI 319'}
Student{ StudentId=79,name='Kerys John', studentGrade=87, courseName='COMPSCI 319'}
Student{ StudentId=85,name='Aamina Mclaughlin', studentGrade=69, courseName='COMPSCI 320'}
Student{ StudentId=88,name='Kwame Mckenzie', studentGrade=83, courseName='COMPSCI 320'}
Student{ StudentId=94,name='Maiya Gallegos', studentGrade=73, courseName='COMPSCI 321'}
Student{ StudentId=91,name='Donald Schultz', studentGrade=87, courseName='COMPSCI 321'}
Student{ StudentId=100,name='Simeon Rowley', studentGrade=78, courseName='COMPSCI 322'}
