Student Id, Student Name,Grade, Course Name
28,Justin Conrad,99,COMPSCI 310
37,Simone Scott,91,COMPSCI 312
19,Blair Heaton,87,COMPSCI 309
79,Kerys John,87,COMPSCI 319
91,Donald Schultz,87,COMPSCI 321
64,Jameson Best,86,COMPSCI 316
73,Alys Mccormick,85,COMPSCI 318
16,Allan Povey,83,COMPSCI 308
61,Antoine Cummings,83,COMPSCI 316
88,Kwame Mckenzie,83,COMPSCI 320
25,Angelina Shepard,82,COMPSCI 310
4,Elsie Medina,81,COMPSCI 306
76,Simran Hahn,80,COMPSCI 318
10,Darrell Newton,79,COMPSCI 307
43,Priyanka Nieves,79,COMPSCI 313
100,Simeon Rowley,78,COMPSCI 322
52,Eloisa Serrano,76,COMPSCI 314
22,Joy Ayers,74,COMPSCI 309
34,Yassin Mcintyre,74,COMPSCI 311
49,Ihsan Burt,74,COMPSCI 314
94,Maiya Gallegos,73,COMPSCI 321
70,Tegan Fox,72,COMPSCI 317
67,Iqra Hodson,72,COMPSCI 317
46,Mitchell Duran,71,COMPSCI 313
55,Kelsey Ware,69,COMPSCI 315
85,Aamina Mclaughlin,69,COMPSCI 320
58,Arielle Pope,67,COMPSCI 315
1,Sacha Rich,66,COMPSCI 306
82,Braxton Colley,66,COMPSCI 319
40,Elize Robin,65,COMPSCI 312
7,Liyah Preece,63,COMPSCI 307
31,Aryaan Coates,58,COMPSCI 311
13,Luther Thornton,53,COMPSCI 308
